period,id,name,order,level,unit,value
2024-Q4,IS_NET_PROFIT_AFTER_TAX,Net Profit After Tax,22,1,VNĐ,2669816000000.0
2024-Q4,IS_MINORITY_INTEREST,Minority Interest,23,1,VNĐ,0.0
2024-Q4,IS_PROFIT_AFTER_TAX_FOR_SHAREHOLDERS_OF_PARENT_COMPANY,Profit After Tax for Shareholders of Parent Company,24,1,VNĐ,2669816000000.0
2024-Q4,IS_BASIC_EARNINGS_PER_SHARE,Basic Earnings Per Share,25,1,VNĐ,861.0
2024-Q4,IS_DILUTED_EARNINGS_PER_SHARE,Diluted Earnings Per Share,26,1,VNĐ,0.0
2024-Q3,IS_NET_INTEREST_INCOME,Net Interest Income,1,1,VNĐ,3777897000000.0
2024-Q3,IS_INTEREST_INCOME_AND_SIMILAR_INCOME,  ‣ Interest Income and Similar Income,2,2,VNĐ,8451851000000.0
2024-Q3,IS_INTEREST_AND_SIMILAR_EXPENSES,  ‣ Interest and Similar Expenses,3,2,VNĐ,-4673954000000.0
2024-Q3,IS_NET_FEE_AND_COMMISSION_INCOME,Net Fee and Commission Income,4,1,VNĐ,1016115000000.0
2024-Q3,IS_FEE_AND_COMMISSION_INCOME,  ‣ Fee and Commission Income,5,2,VNĐ,1109494000000.0
2024-Q3,IS_FEE_AND_COMMISSION_EXPENSES,  ‣ Fee and Commission Expenses,6,2,VNĐ,-93379000000.0
2024-Q3,IS_NET_GAIN_LOSS_FROM_FOREIGN_CURRENCIES_AND_GOLD_TRADING,Net Gain Loss from Foreign Currencies and Gold Trading,7,1,VNĐ,98757000000.0
2024-Q3,IS_NET_GAIN_LOSS_FROM_TRADING_SECURITIES,Net Gain Loss from Trading Securities,8,1,VNĐ,12231000000.0
2024-Q3,IS_NET_GAIN_LOSS_FROM_INVESTMENT_SECURITIES,Net Gain Loss from Investment Securities,9,1,VNĐ,-97000000.0
2024-Q3,IS_NET_OTHER_INCOME,Net Other Income,10,1,VNĐ,118985000000.0
2024-Q3,IS_OTHER_INCOME,  ‣ Other Income,11,2,VNĐ,181780000000.0
